global_iso_id,nu,sw,n_air,gamma_self,elower,nu-err,sw-err,n_air-err,gamma_self-err,nu-ref,sw-ref,n_air-ref,gamma_self-ref
1,1.166359,9.086e-36,0.76,0.391,5556.6851,4,3,5,5,762,26,778,817
1,1.389261,8.972e-34,1.01,0.412,5162.6421,4,4,4,7,762,26,778,817
1,1.54249,2.528e-36,0.62,0.371,4195.8179,4,3,4,2,762,26,819,817
1,1.547458,4.195e-34,0.69,0.434,4030.3059,4,4,4,2,762,26,819,817
1,1.617166,3.709e-33,0.71,0.456,4855.2998,4,4,8,7,762,26,819,817
1,1.678415,1.915e-33,0.67,0.412,3974.6296,4,4,4,2,762,26,819,817
1,1.924093,1.165e-35,0.74,0.391,5754.7427,4,4,4,6,762,26,778,817
1,2.052196,6.816e-35,0.62,0.371,4197.3384,5,4,4,2,762,26,819,817
1,2.153838,3.942e-33,0.62,0.371,4290.7568,4,4,4,2,762,26,819,817
1,2.261694,1.233e-26,0.69,0.434,1819.3351,5,5,6,8,18,31,778,817
1,2.370644,1.712e-35,0.51,0.298,4750.3613,4,4,4,2,762,26,819,817
1,2.388433,7.025e-33,0.41,0.183,4606.166,3,4,4,2,762,26,101,817
1,2.585016,4.333e-35,0.69,0.412,5541.6636,4,4,4,2,762,26,819,817
1,2.604622,5.144e-34,0.73,0.371,5610.7651,4,4,5,6,762,26,778,817
1,2.729181,1.484e-35,0.69,0.333,6192.2446,3,4,4,5,762,26,778,817
1,2.773758,3.753e-34,0.69,0.434,5454.5962,4,4,6,8,762,26,778,817
1,2.861552,2.047e-34,0.65,0.434,5538.8022,4,4,6,6,762,26,778,817
1,3.030769,2.501e-33,0.57,0.333,4622.9058,4,4,4,2,762,26,819,817
1,3.035947,8.888e-32,0.69,0.412,4027.8027,4,4,4,2,762,26,819,817
1,3.039201,1.449e-35,0.74,0.391,6106.2969,4,4,5,5,762,26,778,817
1,3.042006,2.058e-35,0.48,0.281,5439.0557,4,4,4,2,762,26,819,817
1,3.153107,1.864e-34,0.78,0.434,5376.7852,3,4,6,6,762,26,778,817
